method,component_factor,condition,non_event_matches,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5
corrca,c1,fake,excluded,0.084,0.119,0.154,0.19,0.226,0.259,0.29,0.318,0.345
corrca,c1,fake,included,0.131,0.197,0.262,0.324,0.383,0.439,0.492,0.541,0.586
corrca,c1,real,excluded,0.112,0.159,0.204,0.248,0.288,0.325,0.36,0.393,0.421
corrca,c1,real,included,0.17,0.251,0.328,0.402,0.472,0.537,0.598,0.653,0.703
corrca,c2,fake,excluded,0.082,0.113,0.142,0.172,0.205,0.239,0.27,0.3,0.328
corrca,c2,fake,included,0.145,0.215,0.28,0.34,0.394,0.443,0.489,0.532,0.574
corrca,c2,real,excluded,0.123,0.174,0.22,0.265,0.308,0.349,0.389,0.425,0.458
corrca,c2,real,included,0.208,0.308,0.395,0.47,0.535,0.593,0.647,0.696,0.74
corrca,c3,fake,excluded,0.066,0.092,0.116,0.141,0.167,0.194,0.221,0.248,0.276
corrca,c3,fake,included,0.121,0.179,0.236,0.289,0.338,0.384,0.428,0.469,0.508
corrca,c3,real,excluded,0.092,0.131,0.169,0.207,0.245,0.28,0.313,0.343,0.37
corrca,c3,real,included,0.151,0.225,0.296,0.364,0.427,0.485,0.538,0.585,0.627
factor,f1,fake,excluded,0.046,0.067,0.088,0.107,0.126,0.144,0.162,0.179,0.194
factor,f1,fake,included,0.131,0.171,0.211,0.246,0.282,0.316,0.35,0.381,0.41
factor,f1,real,excluded,0.047,0.068,0.09,0.109,0.128,0.145,0.163,0.179,0.194
factor,f1,real,included,0.165,0.201,0.237,0.268,0.299,0.328,0.358,0.385,0.41
factor,f2,fake,excluded,0.05,0.069,0.087,0.101,0.113,0.124,0.135,0.143,0.15
factor,f2,fake,included,0.368,0.45,0.521,0.579,0.629,0.672,0.71,0.743,0.771
factor,f2,real,excluded,0.047,0.065,0.082,0.095,0.107,0.117,0.126,0.134,0.141
factor,f2,real,included,0.387,0.468,0.54,0.597,0.647,0.69,0.729,0.761,0.788
factor,f3,fake,excluded,0.078,0.113,0.149,0.181,0.214,0.244,0.275,0.303,0.328
factor,f3,fake,included,0.096,0.138,0.183,0.223,0.264,0.303,0.342,0.378,0.41
factor,f3,real,excluded,0.079,0.115,0.151,0.183,0.215,0.245,0.275,0.303,0.327
factor,f3,real,included,0.1,0.144,0.191,0.231,0.273,0.312,0.352,0.388,0.42
factor,f4,fake,excluded,0.079,0.114,0.152,0.183,0.217,0.247,0.279,0.308,0.333
factor,f4,fake,included,0.1,0.143,0.189,0.228,0.27,0.308,0.347,0.383,0.415
factor,f4,real,excluded,0.074,0.108,0.143,0.173,0.206,0.235,0.266,0.294,0.319
factor,f4,real,included,0.096,0.138,0.182,0.221,0.262,0.3,0.34,0.376,0.408
factor,f5,fake,excluded,0.021,0.032,0.042,0.051,0.062,0.071,0.082,0.093,0.102
factor,f5,fake,included,0.068,0.087,0.104,0.12,0.137,0.153,0.171,0.187,0.203
factor,f5,real,excluded,0.021,0.032,0.042,0.051,0.061,0.07,0.08,0.089,0.098
factor,f5,real,included,0.054,0.072,0.09,0.106,0.122,0.138,0.155,0.171,0.186
factor,f6,fake,excluded,0.105,0.151,0.199,0.24,0.28,0.317,0.353,0.385,0.413
factor,f6,fake,included,0.128,0.185,0.244,0.295,0.346,0.394,0.441,0.482,0.519
factor,f6,real,excluded,0.097,0.141,0.185,0.224,0.262,0.297,0.332,0.363,0.39
factor,f6,real,included,0.123,0.178,0.234,0.284,0.334,0.38,0.427,0.469,0.505
