,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,4718,4730.0,23558,23570.0,0
1,discussion_phase_0,41438,41450.0,50438,50450.0,0
2,reschu_run_0,51518,51530.0,60518,60530.0,0
3,reschu_run_1,65045,65057.0,74046,74058.0,0
4,reschu_run_2,77136,77148.0,86136,86148.0,0
5,reschu_run_3,89064,89076.0,98064,98076.0,0
6,discussion_phase_1,100699,100711.0,109699,109711.0,0
7,reschu_run_4,110636,110648.0,119636,119648.0,0
8,reschu_run_5,123301,123313.0,132301,132313.0,0
9,reschu_run_6,135165,135177.0,144165,144177.0,0
10,reschu_run_7,146997,147009.0,155996,156008.0,0
